Путь 17.07.24_1_out.csv_профиль_левый 17.07.24_1_out.csv_профиль_правый 17.07.24_2_in.csv_профиль_левый 17.07.24_2_in.csv_профиль_правый 17.07.24_3_out.csv_профиль_левый 17.07.24_3_out.csv_профиль_правый 17.07.24_4_in.csv_профиль_левый 17.07.24_4_in.csv_профиль_правый 17.07.24_5_out.csv_профиль_левый 17.07.24_5_out.csv_профиль_правый 17.07.24_6_in.csv_профиль_левый 17.07.24_6_in.csv_профиль_правый 17.07.24_7_out.csv_профиль_левый 17.07.24_7_out.csv_профиль_правый СКО_левый СКО_правый
86,000 0,14756864 0,14047546 0,15050502 0,13919973 0,14675928 0,13987565 0,14998659 0,13964545 0,14073894 0,1487967 0,14646224 0,14160734 0,14528667 0,14404328 0,00301431 0,00317869
87,000 0,1523545 0,13938927 0,15639198 0,13694712 0,15290575 0,13739711 0,15609485 0,13725251 0,14998772 0,14341782 0,15170354 0,14008585 0,14937055 0,14381796 0,00252844 0,00266922
88,000 0,15540675 0,13950344 0,15870613 0,13767524 0,15615444 0,13727005 0,15925061 0,13719654 0,15321878 0,14359673 0,1559125 0,13907371 0,15259398 0,14390795 0,0023154 0,00266133
89,000 0,15172717 0,14581838 0,15626862 0,14264293 0,15577017 0,14024163 0,1598611 0,13920166 0,15369519 0,14591768 0,15537726 0,14227127 0,1551121 0,14414092 0,00230752 0,00240145
90,000 0,15330778 0,14667949 0,15859551 0,14269346 0,15101781 0,14742346 0,15793362 0,14358812 0,15537031 0,14673126 0,15403266 0,14605992 0,15131744 0,15041796 0,00275717 0,00235834
91,000 0,15380258 0,14872499 0,15919687 0,14454504 0,15459588 0,14636739 0,15973534 0,14428649 0,15449058 0,15006659 0,15443894 0,14811575 0,15239152 0,15174558 0,00259416 0,00257938
92,000 0,15786867 0,14725946 0,16073423 0,14554939 0,15526351 0,14827069 0,16167652 0,14489929 0,15426103 0,15290057 0,15564444 0,14947797 0,15433773 0,1523671 0,00282649 0,00288653
93,000 0,1574491 0,15032805 0,16205065 0,14684508 0,15765476 0,14853012 0,16253693 0,14669821 0,15698922 0,15281186 0,15655971 0,15121519 0,15517242 0,15411821 0,0026097 0,00265717
94,000 0,15910576 0,15138035 0,16315597 0,14840929 0,15805161 0,15080982 0,16295099 0,14897918 0,15740587 0,15505621 0,15797776 0,15251174 0,15651078 0,15553698 0,00247588 0,00255466
95,000 0,16098768 0,15217765 0,16596734 0,1482354 0,16117451 0,15031692 0,16403019 0,15052666 0,15891349 0,15631656 0,16006316 0,15309243 0,15581058 0,15901637 0,00307171 0,00345689
96,000 0,16478551 0,1506963 0,16796344 0,14851741 0,16258844 0,15120195 0,16608131 0,15073563 0,1623566 0,1553888 0,16300129 0,15253958 0,16270578 0,15459844 0,0019896 0,00222247
97,000 0,16317073 0,15381863 0,17058378 0,14742522 0,16428858 0,15101407 0,1690357 0,14938492 0,16411678 0,15556494 0,16413726 0,15315797 0,16361276 0,15554927 0,00273973 0,0028827
98,000 0,1637766 0,15385465 0,17070773 0,14792906 0,16402366 0,15187541 0,1675772 0,15151342 0,16408117 0,15657046 0,16434086 0,15373065 0,15998151 0,16009079 0,00311899 0,00359572
99,000 0,16414188 0,15353459 0,16870431 0,14992989 0,16278027 0,1532259 0,16933662 0,14983736 0,16562091 0,15532612 0,16404707 0,15412603 0,1588338 0,16150488 0,0033203 0,00364043
100,000 0,16469616 0,15296627 0,16653534 0,15204425 0,16335342 0,15265833 0,16675385 0,15238458 0,16298756 0,15789987 0,16329962 0,15485405 0,16062042 0,15975128 0,00199438 0,00281197
101,000 0,16294674 0,15455777 0,16701834 0,15136844 0,1581182 0,15779963 0,16602883 0,15294257 0,16272205 0,15813698 0,16244644 0,15560469 0,15974399 0,1605862 0,00291752 0,00296961
102,000 0,16439213 0,1527725 0,16588604 0,15207569 0,16210227 0,15342523 0,16676451 0,1518419 0,16330258 0,15732049 0,16231574 0,15536844 0,16197739 0,15817015 0,00177853 0,0023671
103,000 0,16382221 0,15292136 0,16712556 0,1503561 0,16295029 0,15215232 0,1656058 0,15250989 0,16449498 0,15570785 0,16203979 0,15513521 0,16205822 0,15767104 0,00174593 0,00231197
104,000 0,16387371 0,15257111 0,16471852 0,15243248 0,16409575 0,15073005 0,16765988 0,15014052 0,16247255 0,15739649 0,16350576 0,1533383 0,16234256 0,15708844 0,00165601 0,00264453
105,000 0,16616762 0,15009159 0,16700466 0,14990487 0,16364524 0,15094973 0,16739267 0,15017017 0,16449837 0,15512708 0,16407747 0,15255675 0,16398301 0,15521804 0,00144579 0,00216885
106,000 0,16415738 0,15208355 0,16984427 0,14695853 0,16478443 0,14973227 0,16794953 0,1495019 0,16592904 0,15355918 0,16267424 0,15379979 0,16385714 0,15526131 0,00232951 0,00271864
107,000 0,16542787 0,15108312 0,16969206 0,14733229 0,16479329 0,14989722 0,1670251 0,15059735 0,16369527 0,15586479 0,1645754 0,15197925 0,15578469 0,16355995 0,00397948 0,00495539
108,000 0,16471279 0,15246409 0,16806768 0,14957084 0,16109454 0,15422183 0,16792514 0,15028497 0,1632086 0,15690503 0,1596857 0,15743605 0,1626514 0,15728236 0,00297368 0,00309014
109,000 0,17097 0,14690879 0,17209118 0,14618365 0,16950265 0,14653527 0,17336956 0,14548588 0,16945228 0,15132686 0,16941239 0,14830441 0,16968288 0,15089801 0,0014537 0,00215463
110,000 0,16854969 0,14974607 0,17284651 0,14581667 0,16793484 0,14852101 0,17292466 0,14636479 0,16919426 0,15207821 0,16823007 0,14984446 0,16773685 0,15328783 0,00210357 0,00254749
111,000 0,16666438 0,15203902 0,17051941 0,1484778 0,16679808 0,15005587 0,17063128 0,14905248 0,16961257 0,15205693 0,16673966 0,15163566 0,16915144 0,15222993 0,00167302 0,0014569
112,000 0,16491655 0,15428794 0,17173955 0,14771089 0,16754119 0,14977839 0,17022898 0,14992352 0,1689367 0,1531477 0,16673488 0,15202577 0,16617253 0,15561383 0,00221933 0,00258925
113,000 0,16653826 0,15338109 0,1679085 0,15223054 0,16663645 0,1513791 0,16808767 0,15273952 0,16697435 0,15565563 0,1657135 0,15365618 0,16672714 0,15569194 0,00076153 0,00151987
