Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-58,13850402832 356428 -1,62388 <_____> 1522,11 <Интегр-Навиг> 61,9451 -0,486822 -1,40938 -2,57426 1,50074 0 55,76339240358 37,72287991609 167,24203491211 0,0263583 10,2835 -1,07156
-58,58957672119 356955 -1,62386 <_____> 1522,11 <Интегр-Навиг> 61,9554 -0,451484 -1,52812 -2,61313 1,5264 0 55,76338895472 37,72288345963 167,09669494629 0,212086 10,3973 -1,28221
-59,04065322876 357466 0 <_____> 1522,11 <Интегр-Навиг> 61,9861 -0,500261 -1,63334 -2,74187 1,57123 0 55,76338520964 37,72288803603 166,93624877930 -1,46149 8,97691 1,26972
-59,49172973633 357964 -1,62388 <_____> 1522,11 <Интегр-Навиг> 61,9742 -0,425315 -1,73958 -2,75428 1,60528 0 55,76338176467 37,72289156440 166,79942321777 -0,176423 10,2187 -0,949662
-59,94280242920 358455 -1,62388 <_____> 1522,11 <Интегр-Навиг> 61,9964 -0,393526 -1,81535 -2,83464 1,6305 0 55,76337782703 37,72289568558 166,72128295898 0,00470667 10,3289 -1,60888
-60,39387512207 358936 -1,62386 <_____> 1522,11 <Интегр-Навиг> 62,0246 -0,292681 -1,87571 -2,92166 1,66708 0 55,76337438262 37,72289918844 166,59088134766 0,20029 9,97654 1,36876
-60,84495162964 359409 -1,62386 <_____> 1522,11 <Интегр-Навиг> 62,0728 -0,234717 -1,86799 -2,97892 1,70084 0 55,76337093045 37,72290269113 166,46191406250 -0,884375 9,12791 0,564071
-61,29602813721 359856 -1,62388 <_____> 1522,31 <Интегр-Навиг> 62,0972 -0,144901 -1,87013 -3,21947 1,81727 0 55,76336744924 37,72290611494 166,51225280762 0,2784 10,8873 -1,03398
-61,74710083008 360279 0 <_____> 1522,51 <Интегр-Навиг> 62,1343 -0,06281 -1,82632 -3,33758 1,86839 0 55,76336400936 37,72290955969 166,40121459961 -1,07514 8,13545 0,605781
-62,19817352295 360695 -1,62386 <_____> 1523,12 <Интегр-Навиг> 62,1142 -0,0798935 -1,81071 -3,33872 1,89417 0 55,76335981829 37,72291392887 166,56071472168 -0,283361 11,1466 -1,18469
-62,64925003052 361116 -1,62386 <_____> 1523,52 <Интегр-Навиг> 62,0499 -0,074056 -1,78111 -3,2774 1,85669 0 55,76335630909 37,72291744430 166,45339965820 -0,855212 9,77216 -0,643441
