Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
653,15600585938 106578 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1159 -0,12292 -0,728407 -3,65745 2,06465 0 55,76347905557 37,72284008454 161,31668090820 -1,11157 8,91726 1,10408
652,70495605469 106971 -1,624 <_____> 1517,66 <Интегр-Навиг> 62,1118 -0,125363 -0,764702 -3,59197 2,02912 0 55,76347550029 37,72284365769 161,31823730469 -1,28504 8,73133 -0,125784
652,25384521484 107363 -1,62378 Piket 1518,87 <Интегр-Навиг> 62,1264 -0,210402 -0,822954 -3,63538 2,03834 0 55,76347201433 37,72284716407 161,31968688965 -1,02297 8,89432 1,01272
651,80279541016 107756 -1,624 <_____> 1519,08 <Интегр-Навиг> 62,1382 -0,210441 -0,879197 -3,66647 2,06207 0 55,76346833890 37,72284993545 161,31817626953 -1,78052 8,70556 0,2078
651,35174560547 108139 -1,62378 <_____> 1518,87 <Интегр-Навиг> 62,1365 -0,240612 -0,956956 -3,72821 2,11311 0 55,76346477260 37,72285351705 161,32031250000 -1,1201 9,37639 -0,453002
650,90063476563 108519 -1,62378 <_____> 1517,26 <Интегр-Навиг> 62,1188 -0,345785 -1,04948 -3,73599 2,11732 0 55,76346122055 37,72285707769 161,32095336914 0,885554 10,1377 -0,986416
650,44958496094 108900 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1446 -0,366715 -1,14333 -3,73453 2,10594 0 55,76345718715 37,72285964102 161,32368469238 -1,03423 9,12122 0,996197
649,99847412109 109286 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1389 -0,449033 -1,25404 -3,62016 2,05009 0 55,76345362261 37,72286320988 161,32666015625 -1,47636 8,89681 0,635254
649,54742431641 109684 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1127 -0,459313 -1,37772 -3,56074 2,02255 0 55,76344994500 37,72286668767 161,30578613281 0,866837 10,7506 -0,470863
649,09637451172 110084 -1,62378 <_____> 1518,67 <Интегр-Навиг> 62,0955 -0,509865 -1,48607 -3,54564 1,99331 0 55,76344639616 37,72287025357 161,30879211426 0,190061 9,46722 1,34172
648,64526367188 110484 -1,62378 <_____> 1519,48 <Интегр-Навиг> 62,0973 -0,558398 -1,60287 -3,57096 2,02503 0 55,76344284555 37,72287381343 161,30802917480 -0,979785 9,8165 -0,511046
648,19421386719 110882 -1,624 <_____> 1519,88 <Интегр-Навиг> 62,1133 -0,570105 -1,72391 -3,5602 2,01776 0 55,76343933716 37,72287770604 161,31129455566 0,098028 10,6332 -0,429031
647,74310302734 111289 -1,62378 <_____> 1520,49 <Интегр-Навиг> 62,1186 -0,510521 -1,81103 -3,45779 1,9643 0 55,76343576975 37,72288129223 161,31446838379 0,519527 10,2775 0,443193
647,29205322266 111708 -1,624 <_____> 1520,49 <Интегр-Навиг> 62,1287 -0,434841 -1,90247 -3,43332 1,93299 0 55,76343167728 37,72288471504 161,34994506836 0,0413095 9,35216 1,65341
646,84100341797 112125 -1,62378 <_____> 1520,29 <Интегр-Навиг> 62,1698 -0,336593 -1,95525 -3,42858 1,91815 0 55,76342808116 37,72288831929 161,35345458984 -0,845595 8,93066 1,0442
646,38989257813 112542 -1,62378 <_____> 1520,49 <Интегр-Навиг> 62,2057 -0,252912 -1,98591 -3,41676 1,93457 0 55,76342416455 37,72289146447 161,41181945801 -0,0851802 10,6421 -0,71221
645,93884277344 112955 -1,624 <_____> 1520,29 <Интегр-Навиг> 62,2507 -0,154689 -1,97229 -3,63686 2,02284 0 55,76342057434 37,72289503326 161,41604614258 -0,221856 9,23315 1,409
