Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-653,10589599609 113573 3,24756 <_____> 1515,44 <Интегр-Навиг> 46,0137 0,144333 -0,0642591 3,21704 -3,51727 0 55,75888169311 37,72784071034 165,45088195801 -0,618164 9,75132 -0,980728
-652,65484619141 113918 1,624 <_____> 1515,64 <Интегр-Навиг> 46,0815 -0,00870653 -0,0282015 3,32496 -3,64555 0 55,75888428199 37,72783620813 165,61042785645 -0,0468218 9,34746 0,3759
-652,20373535156 114248 1,62378 <_____> 1515,44 <Интегр-Навиг> 46,0474 0,0850534 0,000897283 3,40547 -3,74029 0 55,75888708927 37,72783076281 165,63479614258 -0,523805 9,65282 -0,393256
-651,75268554688 114583 1,624 <_____> 1515,03 <Интегр-Навиг> 46,0134 0,0700877 0,033074 3,34489 -3,63607 0 55,75888988073 37,72782534849 165,65914916992 0,152876 10,1406 -1,02824
-651,30157470703 114910 1,62378 <_____> 1514,83 <Интегр-Навиг> 46,0107 0,0151769 0,0469119 3,48266 -3,77107 0 55,75889308079 37,72782109273 165,77384948730 -0,43972 9,5145 0,0873082
-650,85052490234 115234 1,62378 <_____> 1514,83 <Интегр-Навиг> 46,0616 0,167715 0,0563383 3,46468 -3,75636 0 55,75889591662 37,72781562919 165,79946899414 0,263726 9,22056 0,829547
-650,39947509766 115554 3,24778 <_____> 1514,43 <Интегр-Навиг> 46,094 0,110846 0,0738951 3,56078 -3,87406 0 55,75889870331 37,72781027053 165,82456970215 -0,459775 10,0939 -1,32118
-649,94836425781 115868 1,62378 <_____> 1513,62 <Интегр-Навиг> 46,0428 0,179437 0,0784028 3,59064 -3,87926 0 55,75890128225 37,72780683249 165,90425109863 0,508208 9,99855 0,731945
-649,49731445313 116184 1,624 <_____> 1513,22 <Интегр-Навиг> 46,0222 0,146969 0,0826019 3,55786 -3,84147 0 55,75890407449 37,72780148044 165,93011474609 0,0960596 9,83972 -0,668285
-649,04620361328 116496 1,62378 <_____> 1512,81 <Интегр-Навиг> 46,0342 0,192951 0,0994188 3,6297 -3,92213 0 55,75890688785 37,72779609640 165,95622253418 -0,29167 10,1746 -1,13289
-648,59515380859 116809 1,62378 <_____> 1512,41 <Интегр-Навиг> 46,072 0,243698 0,0916673 3,57428 -3,84993 0 55,75891014114 37,72779209858 165,99534606934 0,276052 10,0064 0,467914
-648,14410400391 117126 3,24778 <_____> 1512,21 <Интегр-Навиг> 46,1118 0,173318 0,129051 3,55262 -3,84013 0 55,75891296960 37,72778668117 166,02268981934 0,0975477 9,78635 0,469844
-647,69299316406 117449 1,62378 <_____> 1512,61 <Интегр-Навиг> 46,093 0,252513 0,167199 3,40558 -3,70852 0 55,75891575211 37,72778134008 166,04992675781 -0,169001 9,28569 0,146315
