Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
25,71110534668 146200 1,62386 <_____> 1520,89 <Интегр-Навиг> 61,9479 0,458811 -0,625279 -2,84347 1,61623 0 55,76363731953 37,72271060964 168,19552612305 -0,226175 9,82627 0,0138108
25,93663978577 146419 1,62386 <_____> 1520,89 <Интегр-Навиг> 61,9357 0,374313 -0,647358 -2,78125 1,58539 0 55,76363577077 37,72271217017 168,18806457520 -0,0431601 9,65322 -0,164784
26,16217613220 146647 1,62385 <_____> 1521,1 <Интегр-Навиг> 61,9164 0,408866 -0,670188 -2,70755 1,53699 0 55,76363548350 37,72271202911 168,16580200195 -0,151463 9,82387 -0,0757247
26,38771247864 146880 1,62385 <_____> 1521,1 <Интегр-Навиг> 61,8993 0,461742 -0,685676 -2,65379 1,51312 0 55,76363392619 37,72271360182 168,15802001953 -0,132863 9,86416 -0,0932717
26,61324882507 147111 1,62386 <_____> 1520,89 <Интегр-Навиг> 61,897 0,521884 -0,701836 -2,72019 1,54092 0 55,76363236958 37,72271517508 168,14996337891 -0,121273 9,86881 0,0743687
26,83878517151 147336 0,811931 <_____> 1520,89 <Интегр-Навиг> 61,9032 0,415197 -0,719714 -2,78382 1,58647 0 55,76363085417 37,72271670585 168,14216613770 -0,270195 9,92445 0,100123
27,06431961060 147556 0,811931 <_____> 1520,69 <Интегр-Навиг> 61,8992 0,498078 -0,727759 -2,86147 1,62354 0 55,76362967095 37,72271741523 168,11721801758 0,0726287 9,94251 -0,0840153
27,28985595703 147769 1,62385 <_____> 1520,49 <Интегр-Навиг> 61,9104 0,460569 -0,729074 -2,95915 1,67155 0 55,76362812366 37,72271897002 168,10981750488 -0,0737547 9,69454 0,0168427
27,51539230347 147974 1,62385 <_____> 1520,49 <Интегр-Навиг> 61,9069 0,449364 -0,732668 -3,0602 1,72586 0 55,76362656816 37,72272052688 168,10270690918 -0,430525 9,29416 -0,0806933
27,74092864990 148177 1,62386 <_____> 1520,69 <Интегр-Навиг> 61,9135 0,494135 -0,730774 -3,09919 1,7538 0 55,76362503362 37,72272206326 168,09562683105 0,00379235 9,86552 -0,0379481
