acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
0 -23 1007 2 14 -19
0 -23 983 11 7 0
23 -23 983 4 10 -2
47 -23 959 -2 0 -19
23 -23 959 -2 0 -22
23 0 983 8 -15 -22
0 0 983 13 0 -35
23 0 959 -6 8 -27
47 -23 983 0 14 -14
0 -23 983 0 14 -14
23 -71 959 9 23 -1
23 -23 911 11 20 -17
0 -23 1007 18 23 -24
0 0 983 18 8 -18
95 -23 959 18 8 -18
71 0 1007 16 -9 -8
47 -23 983 15 -6 4
0 -23 983 0 -6 -11
23 -23 983 6 -3 -3
0 -23 1007 6 -3 -3
23 0 959 10 5 0
95 -23 1007 4 8 -20
47 0 1007 6 25 -12
23 -47 1007 4 13 -30
23 0 959 4 13 -30
23 0 1007 8 8 -21
0 -47 983 10 0 8
0 -23 1031 14 -4 -18
47 -23 1007 11 2 -10
71 -23 1031 11 2 -10
23 0 1007 0 -3 -16
23 -23 959 -2 1 -14
23 23 959 1 -8 -12
47 -47 1031 -12 5 -10
47 -23 1007 -12 5 -10
0 23 1007 0 7 -13
23 23 959 -7 -6 -15
0 -23 1007 -1 -15 -12
23 0 1007 -14 -6 -17
23 0 935 -14 -6 -17
0 0 959 -14 -12 -8
23 0 959 -15 -7 -30
23 0 959 4 -4 -8
0 -47 1007 16 4 -5
47 0 983 16 4 -5
23 0 983 -1 0 -20
0 0 959 3 -12 -5
47 0 983 1 -1 -19
47 0 959 0 -7 -3
0 -47 1055 0 -7 -3
47 0 959 4 0 -3
0 -23 983 -1 6 -14
23 -23 1007 3 8 -34
47 0 1007 9 -10 -9
47 0 959 9 -10 -9
23 -23 1007 6 -16 -19
23 23 935 0 -12 -7
23 0 983 7 0 -16
0 -23 959 9 21 -10
23 0 959 9 21 -10
23 0 935 -3 21 -28
47 -47 1007 -12 4 -18
0 0 959 -17 5 5
23 -23 983 1 -6 17
0 0 983 1 -6 17
0 0 983 2 3 -5
0 0 983 11 13 0
0 -47 1007 5 1 -4
23 0 1007 0 13 -4
23 0 983 0 13 -4
0 -23 983 -1 0 22
23 0 1007 0 -11 -12
0 0 959 -1 -4 -17
0 23 935 6 0 -5
0 -23 1007 6 0 -5
0 0 1031 17 18 -22
-23 -23 959 1 12 -5
0 0 959 -13 0 -9
0 0 1007 -3 -3 -38
23 -23 935 -3 -3 -38
95 23 1007 -17 0 -24
23 0 1007 -19 3 -25
0 0 959 -7 -3 -14
23 0 983 0 2 -33
23 -23 959 0 2 -33
23 -23 983 17 10 -18
47 -47 1007 14 1 -27
0 -47 983 20 -3 0
47 0 983 25 0 -3
0 -23 1055 25 0 -3
23 -47 1007 4 -17 -29
47 23 959 6 -12 -28
47 0 1007 6 -11 -26
0 0 983 3 -11 -24
23 -23 1031 3 -2 -24
47 -23 1007 2 9 -17
23 -23 959 7 21 -21
71 -23 983 -5 12 -10
23 -23 1007 -5 12 -9
0 0 983 10 4 -9
23 0 1007 12 4 -33
23 -47 1007 2 1 -20
47 -23 983 7 5 -3
47 0 1007 7 5 -3
23 0 983 3 -7 -11
