acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
8224 16160 3872 1824 8224 8224
5920 16160 8201 8211 8255 8224
8224 16160 1027 16160 377 8224
16249 2563 1568 29984 8313 8224
5920 16160 31097 5241 8224 8224
16160 29956 633 800 8224 8224
8313 16160 8204 31097 8255 8224
16160 30979 8313 28448 8313 8224
8224 16160 16131 1056 8224 8224
8224 16160 31087 31093 8193 8224
8313 1824 516 31008 16249 8224
8224 16160 8201 31087 8198 8224
8224 16160 259 16160 1913 8224
8224 16160 1056 16160 8313 8224
16249 3587 16160 8224 8224 6432
8224 16160 31093 16191 8224 8224
8224 16160 31008 31097 8313 8224
8224 16160 1056 16160 8255 15392
16160 29956 5241 16160 8224 17952
8224 16160 2051 5920 16160 8224
8224 16160 31097 2169 8224 8224
8224 16160 1568 28448 8313 8224
5920 16160 4099 29984 16249 8224
8224 16160 31093 31039 31093 8224
8224 16160 31093 8202 31093 8224
16160 8195 16160 8224 8224 11552
5920 16160 1027 16160 8255 8224
16160 5891 2848 16160 8224 6688
8224 16160 30979 3193 16160 8224
16160 16131 6265 16160 8224 2336
8313 16160 31039 8196 8224 8224
16160 8195 16160 8313 8224 800
5920 16160 16160 16249 8224 26144
16160 3076 8224 28448 8313 8224
8224 16160 16249 28537 8313 8224
8224 16160 1568 16160 8255 15904
8224 16160 16191 31087 8224 8224
8224 1824 16132 16160 8224 18464
16160 16132 633 16160 8224 8224
8224 16160 3075 3872 16160 8255
8224 16160 8194 8213 8224 8224
